00001Test                            0.00                                      0.00                                      0.00                  A11.00                 0.00                  0.00                  
000034390                            0.00                                      0.00                                      0.00                  I0.00                  11.00                 0.00                  
00080Repack Charge                   0.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
00086Freight - Full Load             0.00                                      0.00                                      0.00                  A198.00                0.00                  0.00                  
02645Celery Cal 30 Ct              EA30.00                                     0.00                  1                   0.00                  A13.91                 19.00                 0.00                  
02650Celery 3 Ct                   EA3.00                                      0.00                  1                   0.00                  A2.75                  4.00                  0.00                  
02652Celery 1 Ct                   EA1.00                                      0.00                  1                   0.00                  A0.82                  1.00                  0.00                  
02655Celery West Naked 36          EA36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02665Celery Sticks 5#              EA5.00                                      0.00                  1                   0.00                  A6.60                  8.50                  0.00                  
02670Celery Cal 48 Ct              EA48.00                                     0.00                  1                   0.00                  A17.32                 22.00                 0.00                  
02672Celery 6 Ct                   EA6.00                                      0.00                  1                   0.00                  A4.67                  5.75                  0.00                  
02675Celery Root                   LB20.00                                     0.00                  1                   0.00                  A13.20                 20.00                 0.00                  
02680Celery Root                   LB12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02695Celery Knob                     1.00                                      0.00                                      0.00                  I0.00                  0.00                  0.00                  
02720Celery Heart 18               EA18.00                                     0.00                  1                   0.00                  A18.70                 20.00                 0.00                  
02721Celery Heart 18/3             cs18.00                                     0.00                                      0.00                  I0.00                  0.00                  0.00                  
02765Celery Cal Slv 30             EA30.00                                     0.00                  1                   0.00                  A15.62                 24.50                 0.00                  
02770Celery Cal Slv 36             EA36.00                                     0.00                  1                   0.00                  A20.07                 24.00                 0.00                  
02772Celery Naked 36               ea36.00                                     0.00                  1                   0.00                  A19.25                 0.00                  0.00                  
02775Celery Cal 24 Slv             EA24.00                    10.00            0.00                  1                   0.00                  A14.57                 0.00                  0.00                  
02780Celery Eastern Slv 24/30      EA36.00                                     0.00                  1                   0.00                  A16.66                 0.00                  0.00                  
02790Celery Stix 12/8 Oz           EA12.00                                     0.00                                      0.00                  A9.35                  0.00                  0.00                  
02800Cucumber Select Super         EA72.00                                     0.00                  1                   0.00                  A16.06                 20.00                 0.00                  
02805Cucumber English              EA12.00                                     0.00                  1                   0.00                  A18.70                 21.00                 0.00                  
02810Cucumber Select               EA80.00                                     0.00                  1                   0.00                  A10.72                 17.50                 0.00                  
02815Cucumber->1/2 Crt             EA38.00                                     0.00                  1                   0.00                  A8.80                  15.50                 0.00                  
02817Cucumber Kirby 10/5 Ct        EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02820Cucumber Carton 24 Ct         EA24.00                                     0.00                  1                   0.00                  A8.25                  9.00                  0.00                  
02822Cucumber 5 Lb                 LB5.00                                      0.00                  1                   0.00                  A2.42                  0.00                  0.00                  
02825Cucumber 24 Ct                EA24.00                                     0.00                  1                   0.00                  A7.15                  8.00                  0.00                  
02828Cucumber 18 Ct.               EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02830Cucumber 12 Ct                EA12.00                                     0.00                  1                   0.00                  A3.68                  6.00                  0.00                  
02832Cucumber 3 Ct                 EA3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02835Cucumber 06 Ct                EA6.00                                      0.00                  1                   0.00                  A2.03                  4.00                  0.00                  
02840Cucumber 1#                   LB1.00                                      0.00                  1                   0.00                  A0.33                  0.55                  0.00                  
02845Cucumber Kirby                EA65.00                                     0.00                  1                   0.00                  A23.10                 32.00                 0.00                  
02846Cucumber Kirby 1/2            EA83.00                                     0.00                  1                   0.00                  A14.46                 18.00                 0.00                  
02855Pepper Green 06 Ct            EA6.00                                      0.00                  1                   0.00                  A2.31                  3.00                  0.00                  
02870Cucumber 8/6 Ct Bag           EA8.00                                      0.00                  1                   0.00                  A14.30                 0.00                  0.00                  
02875Endive 24 Ct                  EA24.00                                     0.00                  1                   0.00                  A12.10                 16.00                 0.00                  
02876Endive 1/2                    EA12.00                                     0.00                  1                   0.00                  A6.87                  10.50                 0.00                  
02880Endive 3 Ct                   EA3.00                                      0.00                  1                   0.00                  A3.41                  0.00                  0.00                  
02885Endive Calif                  EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02890Endive Belg 10#               LB10.00                                     0.00                  1                   0.00                  A12.37                 20.00                 0.00                  
02900Escarole 24 Ct                EA24.00                                     0.00                  1                   0.00                  A12.10                 16.00                 0.00                  
02901Escarole 1/2                  EA12.00                                     0.00                  1                   0.00                  A6.87                  10.50                 0.00                  
02902Lettuce Shredded 20#          LB20.00                                     0.00                  1                   0.00                  A14.30                 0.00                  0.00                  
02903Lettuce 1#                    LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02910Escarole Calif                EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02915Escarole 3 Ct                 EA3.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02920Lettuce Fd Srvc West 24       EA24.00                                     0.00                  1                   0.00                  A11.55                 14.50                 0.00                  
02922Lettuce Salad Verdelli 4/5#   LB20.00                                     0.00                  1                   0.00                  A14.30                 0.00                  0.00                  
02925Lettuce West 24               EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02930Lettuce West Naked            EA24.00                                     0.00                  1                   0.00                  A11.00                 14.00                 0.00                  
02932Lettuce 6 Ct                  EA6.00                                      0.00                  1                   0.00                  A5.22                  7.00                  0.00                  
02940Lettuce 1#                    LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02950Lettuce West 12 Ct            EA12.00                                     0.00                  1                   0.00                  A9.62                  13.00                 0.00                  
02955Lettuce Cello 12 Ct           EA12.00                                     0.00                  1                   0.00                  A7.92                  0.00                  0.00                  
02960Lettuce Eastern Naked         EA24.00                                     0.00                  1                   0.00                  A17.87                 0.00                  0.00                  
02965Lettuce Canadian Cello        EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02970Lettuce Colorado 24 Ct        EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02975Lettuce Romaine Eastern       EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
02980Lettuce West Cello 24         EA24.00                                     0.00                  1                   0.00                  A13.09                 16.50                 0.00                  
02985Lettuce West Cello Dole       EA24.00                                     0.00                  1                   0.00                  A11.82                 16.50                 0.00                  
02990Lettuce West Cello 30         EA30.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03020Lettuce G/Lf 24 Dole          EA24.00                                     0.00                  1                   0.00                  A9.35                  14.50                 0.00                  
03025Lettuce R/Lf 24 Dole          EA24.00                                     0.00                  1                   0.00                  A11.27                 14.50                 0.00                  
03030Lettuce Bstn 24               EA24.00                                     0.00                  1                   0.00                  A7.70                  12.00                 0.00                  
03033Lettuce Boston Red            LB24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03035Lettuce Boston Eastern        EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03040Lettuce Bib Hydroponic        EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03045Lettuce G/Lf West 24          EA24.00                                     0.00                  1                   0.00                  A9.46                  13.00                 0.00                  
03046Lettuce G/Lf West 1/2         EA12.00                                     0.00                  1                   0.00                  A5.61                  9.00                  0.00                  
03047Lettuce Grn Lf 1#             LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03048Lettuce Green Leaf 6 Ct       EA1.00                                      0.00                  1                   0.00                  A3.57                  0.00                  0.00                  
03050Lettuce G/Lf Eastern          EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03060Lettuce R/Lf West 24          EA24.00                                     0.00                  1                   0.00                  A10.67                 13.00                 0.00                  
03061Lettuce R/Lf West 1/2         EA12.00                                     0.00                  1                   0.00                  A5.61                  9.00                  0.00                  
03062Lettuce Red Leaf 6 Ct         EA1.00                                      0.00                  1                   0.00                  A3.85                  0.00                  0.00                  
03065Lettuce Red/Lf Eastern        EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03067Lettuce Green Leaf Crown      LB20.00                                     0.00                  1                   0.00                  A14.74                 0.00                  0.00                  
03070Lettuce - Bin                 EA0.00                                      0.00                  1                   0.00                  A203.50                0.00                  0.00                  
03075Lettuce Rom West 24           EA24.00                                     0.00                  1                   0.00                  A10.72                 12.50                 0.00                  
03076Lettuce Rom West 1/2          EA12.00                                     0.00                  1                   0.00                  A7.48                  9.00                  0.00                  
03077Lettuce Romaine 1#            LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03078Lettuce Romaine 3 Ct          EA3.00                                      0.00                  1                   0.00                  A2.53                  5.00                  0.00                  
03080Lettuce Romaine 6 Ct          EA6.00                                      0.00                  1                   0.00                  A3.85                  0.00                  0.00                  
03085Lettuce Romaine Hearts        EA12.00                                     0.00                  1                   0.00                  A16.50                 18.00                 0.00                  
03087Lettuce Romaine Crown Leaf    LB20.00                                     0.00                  1                   0.00                  A13.91                 0.00                  0.00                  
03090Lettuce Romaine Dole          EA24.00                                     0.00                  1                   0.00                  A10.67                 14.50                 0.00                  
03095Lettuce Spring Mix            LB3.00                                      0.00                  1                   0.00                  A6.98                  11.00                 0.00                  
03098Romaine Hearts 15/3 Ct        EA15.00                                     0.00                  1                   0.00                  A18.15                 0.00                  0.00                  
03100Radish Red 30/6               EA30.00                                     0.00                  1                   0.00                  A5.83                  9.50                  0.00                  
03106Radish 1 #                    EA1.00                                      0.00                  1                   0.00                  A0.49                  1.25                  0.00                  
03110Radish Red 14/1#              EA14.00                                     0.00                  1                   0.00                  A6.38                  10.00                 0.00                  
03111Radish Clean/Cut 5#           EA5.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03115Radish Red 1# 3 Ct            EA3.00                                      0.00                  1                   0.00                  A1.87                  4.50                  0.00                  
03116Radish Sliced 5#              LB5.00                                      0.00                  1                   0.00                  A8.25                  0.00                  0.00                  
03117Radish 6 Oz - 6 Ct            EA3.00                                      0.00                  1                   0.00                  A1.70                  0.00                  0.00                  
03120Sprout Radish 2 Oz            EA6.00                                      0.00                  1                   0.00                  A3.63                  4.75                  0.00                  
03125Radishes 40#                  LB40.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03135Radish Red Bch 24             EA24.00                                     0.00                  1                   0.00                  A9.35                  0.00                  0.00                  
03136Radish Diakon 1/2             EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03160Radish Wht 12/8               EA12.00                                     0.00                  1                   0.00                  A8.25                  0.00                  0.00                  
03175Radish Black 20#              LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03176Radish Black 10#              LB10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03181Radicchio 12                  EA12.00                                     0.00                  1                   0.00                  A10.45                 16.00                 0.00                  
03201Onion Green 1#                LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03202Green Onion 06 Ct             EA6.00                                      0.00                  1                   0.00                  A2.14                  2.50                  0.00                  
03205Green Onion West 48           EA48.00                                     0.00                  1                   0.00                  A9.29                  13.00                 0.00                  
03207Green Onion 1 Ct              EA1.00                                      0.00                  1                   0.00                  A0.30                  0.75                  0.00                  
03208Green Onion 12 Ct             EA12.00                                     0.00                  1                   0.00                  A4.56                  6.50                  0.00                  
03210Green Onion West 1/2          EA24.00                                     0.00                  1                   0.00                  A5.50                  9.50                  0.00                  
03212Green Onions East 36 Ct       EA36.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03215Green Onion Iceless 4/2#      LB8.00                                      0.00                  1                   0.00                  A11.66                 14.50                 0.00                  
03217Green Onion 10/3 Ct           EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03231Salad Mix 4/5#                LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03255Sprout Alf Onion 6's          EA6.00                                      0.00                  1                   0.00                  A4.07                  5.50                  0.00                  
03260Sprout Tangy 6's              EA6.00                                      0.00                  1                   0.00                  A3.63                  4.75                  0.00                  
03265Sprout Clover 6's             EA6.00                                      0.00                  1                   0.00                  A3.63                  4.75                  0.00                  
03270Sprout Bean 8 Oz              EA6.00                                      0.00                  1                   0.00                  A3.52                  4.75                  0.00                  
03272Bean Sprout 12/8 Oz           EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03275Sprout Bean 5#                LB5.00                                      0.00                  1                   0.00                  A3.63                  0.00                  0.00                  
03278Sprout Bean 10#               lb10.00                                     0.00                  1                   0.00                  A4.67                  0.00                  0.00                  
03280Sprout Alfalfa 4 Oz           EA6.00                                      0.00                  1                   0.00                  A3.63                  5.00                  0.00                  
03285Tabouli 12 Oz                 EA6.00                                      0.00                  1                   0.00                  A6.60                  7.50                  0.00                  
03290Sprout Crunchy 6's            EA6.00                                      0.00                  1                   0.00                  A4.07                  5.00                  0.00                  
03305Tomato Cherry 12              EA12.00                                     0.00                  1                   0.00                  A7.59                  12.00                 0.00                  
03306Tomato Cherry 1/2             EA6.00                                      0.00                  1                   0.00                  A4.78                  8.50                  0.00                  
03307Tomato Cherry 1#              LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03308Tomato Cherry Clmshl 10 Pt    EA10.00                                     0.00                  1                   0.00                  A27.97                 0.00                  0.00                  
03310Tomato Grape 20# Bulk         lb20.00                                     0.00                  1                   0.00                  A19.69                 0.00                  0.00                  
03312Tomato Grape 8 Lb.            LB8.00                                      0.00                  1                   0.00                  A8.52                  0.00                  0.00                  
03315Tomato Grape 12 Ct            EA12.00                                     0.00                  1                   0.00                  A12.10                 15.00                 0.00                  
03317Tomato 10/2 Ct                EA10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03322Tomato Plum 1#                LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03325Tomato Roma 25#               LB25.00                                     0.00                  1                   0.00                  A9.22                  14.00                 0.00                  
03340Tomato Roma 8/2 Lb.           LB4.00                                      0.00                  4                   0.00                  A9.90                  0.00                  0.00                  
03355Tomato 5# Box                 EA1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03360Tomato Vine Ripe 25#          LB25.00                                     0.00                  1                   0.00                  A7.75                  0.00                  0.00                  
03362Tomato Israel 11#             LB11.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03365Tomato 1#                     LB1.00                                      0.00                  1                   0.00                  A0.82                  0.00                  0.00                  
03366Tomato 6/6 Ct Shipper         EA6.00                                      0.00                  1                   0.00                  A10.78                 0.00                  0.00                  
03370Tomato 6X7 25#                LB25.00                                     0.00                  1                   0.00                  A8.63                  13.00                 0.00                  
03372Tomato 20# 6X6 2 Layer        EA50.00                                     0.00                  EA                  1.00                  A9.62                  0.00                  0.00                  
03375Tomato 6X6 25#                LB25.00                                     0.00                  1                   0.00                  A7.75                  13.00                 0.00                  
03380Tomato 5X6 25#                LB25.00                                     0.00                  1                   0.00                  A7.75                  13.00                 0.00                  
03383Tomato Pear 12 Pt             EA12.00                                     0.00                  1                   0.00                  A13.20                 0.00                  0.00                  
03385Tomato Yellow                 LB10.00                                     0.00                  1                   0.00                  A40.70                 0.00                  0.00                  
03386Tomato Tear Drop              EA1.00                                      0.00                  1                   0.00                  A49.50                 0.00                  0.00                  
03388Tomato 6/6 Ct                 EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03390Tomato Hot-House              LB15.00                                     0.00                  1                   0.00                  A18.53                 21.00                 0.00                  
03392Tomato Cluster 11#            LB11.00                                     0.00                  1                   0.00                  A18.70                 21.00                 0.00                  
03395Tomato Cherry On The Vine     LB12.00                                     0.00                  1                   0.00                  A12.65                 0.00                  0.00                  
03396Tomato Cluster 5/2#           EA5.00                                      0.00                  1                   0.00                  A13.47                 0.00                  0.00                  
03398Tomato Cherry Clmshl 10/16 Oz ea10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03410Dome Pack Chives 6 Ct         EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03415Dome Pack Majoram 6 Ct        EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03420Dome Pack Oregano 6 Ct        EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03425Dome Pack Rosemary 6 Ct       EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03430Dome Pack Sage 6 Ct           EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03435Dome Pack Thyme 6 Ct          EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03440Dome Pack Tarragon 6 Ct       EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03445Dome Pack Savory 6 Ct         EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03450Dome Pack Bay Leaves 6 Ct     EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03455Dome Pack Lemon Thyme 6 Ct    EA6.00                                      0.00                  1                   0.00                  A7.08                  0.00                  0.00                  
03460Dome Pack Pansies 6 Ct        EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03465Dome Pack Mix Flowers 6 Ct    EA6.00                                      0.00                  1                   0.00                  A6.91                  0.00                  0.00                  
03470Dome Pack Dill 6 Ct           EA6.00                                      0.00                  1                   0.00                  A6.45                  0.00                  0.00                  
03471Cactus Leaf                   ea1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03475Dome Pack Basil 6 Ct          EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03480Dome Pack Cilantro 6 Ct       EA6.00                                      0.00                  1                   0.00                  A6.45                  0.00                  0.00                  
03550Tomato V.R. Allison's         LB20.00                                     0.00                  1                   0.00                  A7.75                  15.00                 0.00                  
03555Tomato Roma 12/20 Oz          EA12.00                                     0.00                  1                   0.00                  A9.26                  0.00                  0.00                  
03600Mush Dried Porcini 12/1.5     EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03601Tomato Sun Dried 12/3 Oz      EA12.00                                     0.00                  1                   0.00                  A11.27                 14.00                 0.00                  
03602Pepper Hot Combo              LB10.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03603Orange Blood                  EA68.00                                     0.00                  1                   0.00                  A34.65                 0.00                  0.00                  
03605Tomatillo 10#                 LB10.00                                     0.00                  1                   0.00                  A6.54                  21.00                 0.00                  
03607Mache                         LB3.00                                      0.00                  1                   0.00                  A15.40                 0.00                  0.00                  
03608Red Oak 2#                    LB2.00                                      0.00                  2                   0.00                  A14.85                 14.50                 0.00                  
03610Edible Flowers                EA50.00                                     0.00                  1                   0.00                  A4.40                  17.00                 0.00                  
03611Apricot - Dried 1#            LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03612Frisee 3#                     LB3.00                                      0.00                  1                   0.00                  A22.82                 21.00                 0.00                  
03613Fig Black - Dried 1#          LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03615Apple - Dried 1#              LB1.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03617Green Oak 2#                  LB2.00                                      0.00                  1                   0.00                  A9.90                  16.00                 0.00                  
03618Mushroom Dried Porcini 1#     LB1.00                                      0.00                  1                   0.00                  A19.80                 37.00                 0.00                  
03620Romaine - Red 2#              LB2.00                                      0.00                  1                   0.00                  A16.22                 17.00                 0.00                  
03622Lolla Rosa 2#                 LB2.00                                      0.00                  1                   0.00                  A9.90                  15.00                 0.00                  
03623Lychee Nuts                     0.00                                      0.00                                      0.00                  A43.45                 0.00                  0.00                  
03625Spinach - Baby 2#             LB2.00                                      0.00                  1                   0.00                  A19.25                 0.00                  0.00                  
03630Edible Orchids 100 Ct         EA0.00                                      0.00                  1                   0.00                  A18.70                 27.00                 0.00                  
03640Chervil                       LB1.00                                      0.00                  1                   0.00                  A19.80                 0.00                  0.00                  
03645Tomatillo 40#                 lb40.00                                     0.00                  1                   0.00                  A42.90                 0.00                  0.00                  
03665Tomato 12/4 Ct 26 Oz          EA12.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03670Tomato 6/6 Ct Wrap            EA6.00                                      0.00                  1                   0.00                  A12.81                 15.50                 0.00                  
03675Tomato Cello 20/3 Ct          EA20.00                                     0.00                  1                   0.00                  A10.01                 14.00                 0.00                  
03680Tomato 20# Mex X-Lg           LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03681Tomato Divine Ripe            LB20.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03682Tomato 4X5 25#                LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03683Tomato Sun Dried 5#           LB5.00                                      0.00                  1                   0.00                  A15.95                 18.50                 0.00                  
03685Tomato 10 # (5X6)             LB10.00                                     0.00                  1                   0.00                  A4.23                  8.00                  0.00                  
03686Tomato 10 # (6X6)             LB10.00                                     0.00                  1                   0.00                  A4.23                  0.00                  0.00                  
03687Tomato 10 # (6X7)             LB10.00                                     0.00                  1                   0.00                  A4.23                  0.00                  0.00                  
03690Tomato Vine Ripe 20#          LB20.00                                     0.00                  1                   0.00                  A8.75                  0.00                  0.00                  
03692Tomato P.A. Vine Ripe         LB25.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03695Tomato Hot House Cello        EA20.00                                     0.00                  EA                  0.00                  I0.00                  0.00                  0.00                  
03700Watercress 24 Ct              EA24.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03701Watercress 12 Ct.             EA12.00                                     0.00                  1                   0.00                  A7.70                  14.00                 0.00                  
03800Cole Slaw 12/8 Oz             EA12.00                                     0.00                  1                   0.00                  A4.95                  7.25                  0.00                  
03801Cole Slaw 18/1#               EA18.00                                     0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03805Cole Slaw Bulk 10#            LB10.00                                     0.00                  1                   0.00                  A6.60                  9.25                  0.00                  
03810Cole Slaw 06/8 Oz             EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03811Onion Sliced 1#               LB1.00                                      0.00                  EA                  0.00                  I0.00                  0.00                  0.00                  
03812Verdelli Caesar Salad 6 Ct    EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
03813Verdelli Spin Salad 6Ct.      EA6.00                                      0.00                  1                   0.00                  I0.00                  0.00                  0.00                  
